,name,height,points,salary
0,AJ Hammons,84.0,2.2,350087.0
1,Aaron Gordon,80.0,14.6,18136364.0
2,Aaron Holiday,72.0,6.9,2345640.0
3,Abdel Nader,77.0,6.7,1752950.0
4,Admiral Schofield,77.0,3.0,1517981.0
5,Al Horford,81.0,14.3,27500000.0
6,Alec Burks,78.0,12.6,6000000.0
7,Alen Smailagic,82.0,1.7,1517981.0
8,Alex Caruso,76.0,5.8,2750000.0
9,Alex Len,84.0,6.1,2258000.0
10,Alfonzo McKinnie,79.0,2.5,1762796.0
11,Alize Johnson,79.0,2.0,110998.0
12,Anderson Varejao,83.0,7.3,1913345.0
13,Andre Drummond,82.0,17.5,27957238.0
14,Andre Iguodala,78.0,4.7,15000000.0
15,Andre Roberson,79.0,1.2,163818.0
16,Andrew Nicholson,81.0,6.0,2844430.0
17,Andrew Wiggins,79.0,17.7,29542010.0
18,Anfernee Simons,75.0,8.0,2252040.0
19,Anthony Davis,82.0,22.5,32742000.0
20,Anzejs Pasecniks,85.0,0.0,374297.0
21,Aron Baynes,82.0,6.1,7000000.0
22,Austin Rivers,76.0,7.3,3500000.0
23,Avery Bradley,75.0,8.5,5635000.0
24,Bam Adebayo,81.0,19.2,5115492.0
25,Ben McLemore,75.0,6.6,2283034.0
26,Ben Simmons,83.0,16.1,30559200.0
27,Bismack Biyombo,80.0,5.5,3500000.0
28,Blake Griffin,81.0,11.6,32670565.0
29,Boban Marjanovic,88.0,4.4,3500000.0
30,Bobby Portis,82.0,10.8,3623000.0
31,Bogdan Bogdanovic,78.0,9.6,18000000.0
32,Bojan Bogdanovic,79.0,14.9,17850000.0
33,Brad Wanamaker,75.0,4.7,2250000.0
34,Bradley Beal,75.0,31.8,28751774.0
35,Brandon Clarke,80.0,11.8,2602920.0
36,Brandon Goodwin,72.0,3.9,1701593.0
37,Brandon Ingram,80.0,24.2,27285000.0
38,Brook Lopez,84.0,11.4,12697675.0
39,Bruno Caboclo,81.0,2.8,361256.0
40,Bruno Fernando,81.0,1.5,1517981.0
41,Bryn Forbes,74.0,9.5,2337145.0
42,Buddy Hield,76.0,16.9,24701834.0
43,CJ McCollum,75.0,23.8,29354152.0
44,Caleb Martin,77.0,5.3,1517981.0
45,Cam Reddish,80.0,11.2,4458000.0
46,Cameron Johnson,80.0,10.3,4235160.0
47,Cameron Payne,73.0,7.2,1977011.0
48,Cameron Reynolds,79.0,5.0,110998.0
49,Caris LeVert,78.0,17.3,16203704.0
50,Carmelo Anthony,79.0,14.0,1620564.0
51,Carsen Edwards,71.0,5.1,1517981.0
52,Cedi Osman,79.0,10.1,8840580.0
53,Chandler Hutchison,78.0,1.9,2443440.0
54,Chimezie Metu,81.0,3.4,50000.0
55,Chris Boucher,81.0,13.8,6500000.0
56,Chris Clemons,69.0,4.9,1517981.0
57,Chris Paul,72.0,15.7,41358814.0
58,Chris Silva,80.0,2.7,1517981.0
59,Christian Wood,82.0,21.9,13015874.0
60,Clint Capela,82.0,14.3,16000000.0
61,Coby White,77.0,15.2,5572680.0
62,Cody Martin,77.0,3.8,1517981.0
63,Cody Zeller,83.0,9.2,15415730.0
64,Cole Aldrich,83.0,3.1,685340.0
65,Collin Sexton,73.0,24.0,4991880.0
66,Cory Joseph,75.0,6.7,12600000.0
67,Cristiano Felicio,83.0,1.6,7529020.0
68,D'Angelo Russell,76.0,19.3,28649250.0
69,DaQuan Jeffries,77.0,3.9,1445697.0
70,Dakari Johnson,84.0,1.8,459414.0
71,Damian Jones,83.0,3.0,785285.0
72,Damian Lillard,74.0,30.1,31626953.0
73,Damion Lee,77.0,6.7,1762796.0
74,Damyean Dotson,77.0,6.7,2000000.0
75,Daniel Gafford,82.0,4.8,1517981.0
76,Daniel Theis,80.0,9.4,5000000.0
77,Danilo Gallinari,82.0,12.8,19500000.0
78,Danny Green,78.0,9.2,15365853.0
79,Dante Exum,77.0,3.8,9600000.0
80,Dario Saric,82.0,10.3,9250000.0
81,Darius Bazley,80.0,11.9,2399160.0
82,Darius Garland,73.0,16.4,6720720.0
83,Darius Miller,78.0,3.4,7000000.0
84,David Nwaba,77.0,9.2,1824003.0
85,Davis Bertans,82.0,10.8,15000000.0
86,De'Aaron Fox,75.0,23.8,8099627.0
87,De'Andre Hunter,80.0,16.7,7422000.0
88,De'Anthony Melton,74.0,9.6,9571712.0
89,DeAndre Jordan,83.0,7.6,10375678.0
90,DeAndre' Bembry,77.0,4.6,1737145.0
91,DeMar DeRozan,78.0,20.6,27739975.0
92,DeMarcus Cousins,82.0,9.6,1620564.0
93,DeMarre Carroll,78.0,8.9,6119676.0
94,Dean Wade,81.0,4.1,1517981.0
95,Deandre Ayton,83.0,14.5,10018200.0
96,Dejounte Murray,76.0,15.6,14286000.0
97,Delon Wright,77.0,10.5,9000000.0
98,Demetrius Jackson,73.0,1.8,92857.0
99,Dennis Schroder,75.0,15.0,16000000.0
100,Denzel Valentine,76.0,7.4,4642800.0
101,Derrick Favors,81.0,5.9,9258000.0
102,Derrick Rose,74.0,13.5,7682926.0
103,Derrick White,76.0,12.8,3516284.0
104,Devin Booker,77.0,25.1,29467800.0
105,Devonte' Graham,73.0,13.1,1663861.0
106,Dewayne Dedmon,84.0,6.4,2866667.0
107,Dillon Brooks,79.0,15.8,11400000.0
108,Dion Waiters,75.0,13.1,12650000.0
109,Domantas Sabonis,83.0,20.2,19800000.0
110,Donovan Mitchell,73.0,25.4,5195501.0
111,Doug McDermott,79.0,13.6,7333333.0
112,Draymond Green,78.0,6.1,22246956.0
113,Drew Eubanks,81.0,4.6,1620564.0
114,Duncan Robinson,79.0,12.5,1663861.0
115,Dwayne Bacon,78.0,9.9,1678854.0
116,Dwight Howard,82.0,6.6,1620564.0
117,Dwight Powell,82.0,4.4,11080125.0
118,Dylan Windler,78.0,5.4,2137440.0
119,Dzanan Musa,81.0,4.3,2002800.0
120,E'Twaun Moore,75.0,4.3,1620564.0
121,Ed Davis,81.0,2.3,5005350.0
122,Edmond Sumner,76.0,4.9,2160000.0
123,Elfrid Payton,75.0,12.4,4767000.0
124,Enes Kanter,82.0,12.1,5005350.0
125,Eric Bledsoe,73.0,11.3,16875000.0
126,Eric Gordon,75.0,17.8,16869276.0
127,Eric Paschall,78.0,9.5,1517981.0
128,Ersan Ilyasova,81.0,0.0,754783.0
129,Evan Fournier,79.0,19.6,17450000.0
130,Frank Jackson,75.0,5.2,250000.0
131,Frank Kaminsky,84.0,6.6,1620564.0
132,Frank Ntilikina,76.0,4.3,6176578.0
133,Fred VanVleet,73.0,20.1,21250000.0
134,Furkan Korkmaz,79.0,9.2,1762796.0
135,Garrett Temple,77.0,8.5,4767000.0
136,Gary Clark,78.0,3.4,2000000.0
137,Gary Harris,76.0,9.7,19160714.0
138,George Hill,76.0,11.8,9590602.0
139,Georges Niang,79.0,5.0,1783557.0
140,Giannis Antetokounmpo,83.0,29.0,27528088.0
141,Glenn Robinson III,78.0,5.3,930930.0
142,Goga Bitadze,83.0,3.8,2957520.0
143,Goran Dragic,75.0,13.9,18000000.0
144,Gordon Hayward,79.0,20.4,28500000.0
145,Gorgui Dieng,82.0,7.9,16587688.0
146,Grant Williams,78.0,5.0,2498760.0
147,Grayson Allen,76.0,9.5,2545320.0
148,Guerschon Yabusele,80.0,2.3,1039080.0
149,Hamidou Diallo,77.0,11.9,1663861.0
150,Harrison Barnes,80.0,16.3,22215909.0
151,Hassan Whiteside,84.0,8.0,1620564.0
152,Henry Ellenson,82.0,7.5,110998.0
153,Iman Shumpert,77.0,1.0,447155.0
154,Isaac Bonga,80.0,2.2,1663861.0
155,Isaiah Hartenstein,84.0,3.5,1620564.0
156,Isaiah Roby,80.0,9.0,1517981.0
157,Isaiah Thomas,69.0,18.1,110998.0
158,Ish Smith,72.0,5.2,6000000.0
159,Ivica Zubac,84.0,8.5,7000000.0
160,JJ Redick,75.0,8.7,13013700.0
161,JR Smith,78.0,12.4,1456667.0
162,Ja Morant,75.0,19.3,9166800.0
163,JaKarr Sampson,79.0,2.6,1620564.0
164,JaMychal Green,80.0,8.7,7199760.0
165,JaVale McGee,84.0,8.0,4200000.0
166,Jabari Parker,80.0,2.7,6500000.0
167,Jacob Evans,76.0,2.8,2017320.0
168,Jae Crowder,78.0,10.1,9258000.0
169,Jahlil Okafor,82.0,4.3,1882867.0
170,Jake Layman,80.0,6.1,3761085.0
171,Jakob Poeltl,85.0,7.1,8101852.0
172,Jalen Brunson,73.0,12.2,1663861.0
173,Jalen Lecque,76.0,1.3,1517981.0
174,Jalen McDaniels,81.0,4.5,1517981.0
175,Jamal Murray,75.0,21.1,27285000.0
176,James Harden,77.0,25.3,41254920.0
177,James Johnson,79.0,5.7,16047100.0
178,Jared Dudley,78.0,0.5,1620564.0
179,Jarred Vanderbilt,81.0,5.6,1663861.0
180,Jarrett Allen,83.0,12.9,3909902.0
181,Jarrett Culver,78.0,6.8,6104280.0
182,Javonte Green,76.0,4.2,1517981.0
183,Jaxson Hayes,83.0,5.5,5105160.0
184,Jaylen Brown,78.0,24.7,23437500.0
185,Jaylen Nowell,76.0,10.5,1517981.0
186,Jayson Tatum,80.0,24.9,9897120.0
187,Jeff Green,80.0,9.8,1620564.0
188,Jeff Teague,75.0,6.6,1620564.0
189,Jerami Grant,80.0,23.3,19050000.0
190,Jeremy Lamb,77.0,11.1,10500000.0
191,Jerian Grant,76.0,6.1,50000.0
192,Jerome Robinson,76.0,5.2,3737520.0
193,Jevon Carter,73.0,2.8,3925000.0
194,Jimmy Butler,79.0,21.3,34379100.0
195,Joakim Noah,83.0,8.8,6431667.0
196,Joe Harris,78.0,14.7,16071429.0
197,Joe Ingles,80.0,12.3,10863637.0
198,Joel Embiid,84.0,29.9,29542010.0
199,John Collins,81.0,18.3,4137302.0
200,John Henson,81.0,7.6,110998.0
201,John Konchar,77.0,4.0,2100000.0
202,John Wall,75.0,21.1,41254920.0
203,Jon Leuer,82.0,6.4,3169348.0
204,Jonas Valanciunas,83.0,15.9,15000000.0
205,Jonathan Isaac,83.0,11.9,7362566.0
206,Jordan Bell,80.0,3.3,580062.0
207,Jordan Clarkson,76.0,17.5,11500000.0
208,Jordan Poole,76.0,10.8,2063280.0
209,Josh Gray,72.0,4.9,1620564.0
210,Josh Hart,77.0,9.1,3491159.0
211,Josh Jackson,80.0,13.2,4767000.0
212,Josh Okogie,76.0,4.8,2651040.0
213,Josh Richardson,77.0,13.3,10865952.0
214,Jrue Holiday,75.0,15.9,25876111.0
215,Juancho Hernangomez,81.0,6.2,6493000.0
216,Julius Randle,80.0,23.3,18900000.0
217,Justin Anderson,77.0,5.2,125000.0
218,Justin Holiday,78.0,11.6,5720400.0
219,Justin Jackson,80.0,7.0,5029650.0
220,Justin James,79.0,2.1,1517981.0
221,Justin Robinson,73.0,1.4,99020.0
222,Justise Winslow,78.0,7.8,13000000.0
223,Jusuf Nurkic,83.0,9.8,12888889.0
224,Juwan Morgan,79.0,0.9,1517981.0
225,KZ Okpala,80.0,2.7,1517981.0
226,Kawhi Leonard,79.0,25.9,34379100.0
227,Kelan Martin,77.0,1.3,1445697.0
228,Keldon Johnson,77.0,13.9,2048040.0
229,Kelly Olynyk,83.0,10.0,12819649.0
230,Kemba Walker,72.0,17.7,34379100.0
231,Kendrick Nunn,74.0,13.3,1663861.0
232,Kenrich Williams,78.0,7.0,2000000.0
233,Kent Bazemore,76.0,6.1,1620564.0
234,Kevin Durant,82.0,29.0,40108950.0
235,Kevin Huerter,79.0,11.9,2761920.0
236,Kevin Love,80.0,5.8,31258256.0
237,Kevon Looney,81.0,3.9,4821429.0
238,Khem Birch,81.0,5.5,3000000.0
239,Khris Middleton,79.0,20.4,33051724.0
240,Khyri Thomas,75.0,2.3,744684.0
241,Klay Thompson,78.0,21.5,35361360.0
242,Kris Dunn,75.0,7.3,4767000.0
243,Kristaps Porzingis,87.0,19.7,29467800.0
244,Kyle Anderson,81.0,12.8,9505100.0
245,Kyle Kuzma,82.0,12.1,3562178.0
246,Kyle Lowry,72.0,17.6,30500000.0
247,Kyle Singler,80.0,6.5,999200.0
248,Kyrie Irving,74.0,28.1,33460350.0
249,LaMarcus Aldridge,83.0,13.7,16750000.0
250,Landry Shamet,76.0,7.8,2090040.0
251,Langston Galloway,73.0,5.1,1620564.0
252,Larry Sanders,83.0,6.4,1865546.0
253,Lauri Markkanen,84.0,17.7,6731508.0
254,LeBron James,81.0,25.4,39219566.0
255,Lonzo Ball,78.0,14.2,11003782.0
256,Lou Williams,73.0,12.0,8000000.0
257,Luguentz Dort,75.0,12.6,1517981.0
258,Luka Doncic,79.0,29.0,8049360.0
259,Luka Samanic,82.0,3.8,2824320.0
260,Luke Kennard,77.0,8.0,5273826.0
261,Luke Kornet,86.0,2.0,2250000.0
262,Luol Deng,81.0,14.8,5000000.0
263,Malcolm Brogdon,77.0,21.6,20700000.0
264,Malik Beasley,76.0,20.5,13425895.0
265,Malik Monk,75.0,12.3,5345687.0
266,Marc Gasol,83.0,4.8,2564753.0
267,Marcus Smart,75.0,12.8,13446428.0
268,Mario Hezonja,80.0,6.9,1977011.0
269,Markelle Fultz,75.0,12.9,12288697.0
270,Markieff Morris,81.0,6.1,1620564.0
271,Marko Guduric,78.0,3.9,2750000.0
272,Marquese Chriss,81.0,6.5,1824003.0
273,Marvin Bagley III,83.0,13.9,8963640.0
274,Mason Plumlee,83.0,10.3,8000000.0
275,Matisse Thybulle,77.0,3.7,2711280.0
276,Matt Thomas,76.0,2.6,1517981.0
277,Matthew Dellavedova,75.0,3.1,1620564.0
278,Maurice Harkless,79.0,1.4,3623000.0
279,Maxi Kleber,82.0,7.8,8325000.0
280,Meyers Leonard,84.0,3.3,9400000.0
281,Mfiondu Kabengele,81.0,1.2,2075880.0
282,Mikal Bridges,78.0,13.7,4359000.0
283,Mike Conley,73.0,16.4,34502132.0
284,Mike Muscala,82.0,9.7,2283034.0
285,Mike Scott,79.0,3.8,5005350.0
286,Miles Bridges,78.0,9.6,3934320.0
287,Mitchell Robinson,84.0,8.6,1663861.0
288,Miye Oni,77.0,2.0,1517981.0
289,Mo Bamba,84.0,4.6,5969040.0
290,Monta Ellis,75.0,17.8,2245400.0
291,Monte Morris,74.0,10.4,1723707.0
292,Montrezl Harrell,79.0,14.8,9258000.0
293,Moritz Wagner,83.0,7.1,2161920.0
294,Moses Brown,86.0,6.6,1250000.0
295,Myles Turner,83.0,13.2,18000000.0
296,Nassir Little,77.0,5.3,2210640.0
297,Naz Reid,81.0,11.4,1517981.0
298,Nemanja Bjelica,82.0,7.2,7150000.0
299,Nerlens Noel,83.0,4.8,5000000.0
300,Nicolas Batum,80.0,8.6,9043478.0
301,Nicolas Claxton,83.0,9.8,1517981.0
302,Nicolo Melli,81.0,2.0,3897436.0
303,Nikola Jokic,83.0,27.1,29542010.0
304,Nikola Vucevic,83.0,24.5,26000000.0
305,Noah Vonleh,82.0,0.0,263995.0
306,Norman Powell,75.0,19.5,10865952.0
307,Norvel Pelle,82.0,2.3,217845.0
308,OG Anunoby,79.0,14.0,3872215.0
309,Omari Spellman,80.0,6.8,1988280.0
310,Oshae Brissett,79.0,1.9,300000.0
311,PJ Dozier,78.0,7.7,1762796.0
312,Pascal Siakam,81.0,19.8,30559200.0
313,Pat Connaughton,77.0,6.9,4938273.0
314,Patrick Beverley,73.0,8.3,13333333.0
315,Patrick McCaw,79.0,1.0,4000000.0
316,Patrick Patterson,80.0,4.7,3077704.0
317,Patty Mills,73.0,12.9,13535714.0
318,Paul George,80.0,22.5,35450412.0
319,Paul Millsap,79.0,9.5,10000000.0
320,Paul Watson,78.0,2.6,1445697.0
321,Quinn Cook,73.0,2.9,1000000.0
322,RJ Barrett,78.0,17.3,8231760.0
323,Rajon Rondo,73.0,3.9,8250000.0
324,Raul Neto,73.0,7.7,1620564.0
325,Rayjon Tucker,75.0,4.0,340000.0
326,Reggie Bullock,78.0,9.3,4200000.0
327,Reggie Jackson,74.0,8.7,1620564.0
328,Richaun Holmes,82.0,13.9,5005350.0
329,Ricky Rubio,75.0,8.8,17000000.0
330,Robert Covington,79.0,8.6,12138345.0
331,Robin Lopez,84.0,8.2,7300000.0
332,Rodions Kurucs,81.0,1.0,1780152.0
333,Rodney Hood,80.0,4.7,10047450.0
334,Rodney McGruder,76.0,5.6,5192307.0
335,Romeo Langford,76.0,2.5,3631200.0
336,Royce O'Neale,76.0,7.5,8500000.0
337,Rudy Gay,80.0,10.9,14500000.0
338,Rudy Gobert,85.0,14.5,27525281.0
339,Rui Hachimura,80.0,13.4,4692840.0
340,Russell Westbrook,75.0,21.7,41358814.0
341,Ryan Anderson,81.0,12.3,5214583.0
342,Ryan Arcidiacono,75.0,3.2,3000000.0
343,Sekou Doumbouya,80.0,3.9,3449400.0
344,Semi Ojeleye,78.0,5.4,1752950.0
345,Serge Ibaka,82.0,10.9,9258000.0
346,Seth Curry,74.0,12.9,7834449.0
347,Shake Milton,77.0,13.8,1701593.0
348,Shaquille Harrison,79.0,1.0,770433.0
349,Shaun Livingston,79.0,6.3,666667.0
350,Sindarius Thornwell,76.0,1.2,721484.0
351,Solomon Hill,78.0,4.2,1620564.0
352,Spencer Dinwiddie,77.0,6.7,11454048.0
353,Stanley Johnson,78.0,2.9,3804150.0
354,Stephen Curry,75.0,29.0,43006362.0
355,Sterling Brown,77.0,7.6,1620564.0
356,Steven Adams,83.0,8.1,29592695.0
357,Svi Mykhailiuk,79.0,7.0,1663861.0
358,Taj Gibson,81.0,4.2,1442968.0
359,Taurean Prince,79.0,8.3,12250000.0
360,Terance Mann,77.0,5.3,1517981.0
361,Terence Davis,76.0,7.0,1517981.0
362,Terrance Ferguson,78.0,0.2,3944013.0
363,Terrence Ross,78.0,16.0,13500000.0
364,Terry Rozier,73.0,20.2,18900000.0
365,Thaddeus Young,80.0,12.2,13545000.0
366,Thanasis Antetokounmpo,78.0,2.2,1701593.0
367,Thomas Bryant,82.0,14.3,8333333.0
368,Thon Maker,84.0,3.8,309355.0
369,Tim Frazier,72.0,1.3,110998.0
370,Tobias Harris,80.0,20.8,34358850.0
371,Tomas Satoransky,79.0,7.5,10000000.0
372,Tony Bradley,82.0,4.8,3542060.0
373,Tony Snell,78.0,5.6,12178571.0
374,Torrey Craig,79.0,2.9,1620564.0
375,Trae Young,73.0,25.7,6571800.0
376,Trevor Ariza,80.0,4.0,12800000.0
377,Trey Burke,72.0,7.0,3000000.0
378,Trey Lyles,81.0,5.0,5500000.0
379,Tristan Thompson,81.0,7.9,9258000.0
380,Troy Williams,79.0,6.0,122741.0
381,Ty Jerome,77.0,9.9,2303040.0
382,Tyler Cook,80.0,0.7,99020.0
383,Tyler Herro,77.0,15.1,3822240.0
384,Tyler Johnson,75.0,5.2,1620564.0
385,Tyus Jones,72.0,7.5,8817143.0
386,Udonis Haslem,80.0,3.0,1620564.0
387,Victor Oladipo,76.0,20.8,21000000.0
388,Vincent Poirier,84.0,0.8,2619207.0
389,Vlatko Cancar,80.0,1.4,1517981.0
390,Wayne Ellington,76.0,10.6,1620564.0
391,Wenyen Gabriel,81.0,0.2,1620564.0
392,Wesley Matthews,76.0,4.5,3623000.0
393,Will Barton,78.0,13.0,13723214.0
394,Willy Hernangomez,83.0,6.3,1620564.0
395,Yogi Ferrell,72.0,9.5,110998.0
396,Zach Collins,83.0,7.0,5406255.0
397,Zach LaVine,77.0,28.2,19500000.0
398,Zhaire Smith,75.0,3.7,1068200.0
399,Zion Williamson,79.0,25.7,10245480.0
400,Zylan Cheatham,77.0,3.0,1445697.0
